start_id,type,end_id
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_3
nsw_legislation:2019-05-27/act-2011-070_part_4_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_27A
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_3
nsw_legislation:2019-05-27/act-2011-070_part_4_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_27B
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_3
nsw_legislation:2019-05-27/act-2011-070_part_4_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_28
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_3
nsw_legislation:2019-05-27/act-2011-070_part_4_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_29
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_3
nsw_legislation:2019-05-27/act-2011-070_part_4_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_30
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_3
nsw_legislation:2019-05-27/act-2011-070_part_4_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_31
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_5
nsw_legislation:2019-05-27/act-2011-070_part_5,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_5_section_32
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_6
nsw_legislation:2019-05-27/act-2011-070_part_6,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_6_section_36
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_6
nsw_legislation:2019-05-27/act-2011-070_part_6,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_6_section_37
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_6
nsw_legislation:2019-05-27/act-2011-070_part_6,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_6_section_38
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_6
nsw_legislation:2019-05-27/act-2011-070_part_6,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_6_section_39
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_1
nsw_legislation:2022-11-25/act-1997-078_part_1,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_1_section_1
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_1
nsw_legislation:2022-11-25/act-1997-078_part_1,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_1_section_2
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_1
nsw_legislation:2022-11-25/act-1997-078_part_1,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_1_section_3
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_1
nsw_legislation:2022-11-25/act-1997-078_part_1,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_1_section_4
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_1
nsw_legislation:2022-11-25/act-1997-078_part_1,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_1_section_5
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_2
